col1,col2,col3,col4,col5,col6
0.7324046734480537,0.4455695065347093,0.9973582926644948,0.9721466192494725,0.6444104024278937,0.32089039690055254
0.4128145633325009,0.5707675233212852,0.849955163980839,0.8861682389643029,0.4363318165298151,0.8701007793391198
0.04233565486750979,0.5050912838042727,0.24666478194463803,0.8693209035465848,0.9297380838437086,0.5893409491397767
0.17296765345172038,0.38447751732173585,0.36858375867323967,0.5587830102724569,0.5037495147819135,0.874973907691251
0.606870489160444,0.8356905683847748,0.08888267642440162,0.4098899398194932,0.8901829593169187,0.8533671784449777
0.6491764202422006,0.4547109168338329,0.6950217843737779,0.5106091012325622,0.3280021375950215,0.886861701383369
0.45860612356380115,0.7269537457066513,0.8997397872396757,0.27795030376138163,0.9246754268687122,0.3842754765584877
0.1049608034195273,0.19443090085175163,0.22141772110772728,0.8110041594972741,0.7950867101338203,0.9248323501440066
0.36149035698582543,0.8049928466064719,0.7553086193385095,0.043004483922653436,0.4253003387299975,0.17587915139168442
0.1866058864939094,0.7293548603228017,0.4612887425746529,0.2932528742722894,0.8256044872174373,0.9598910024641937
0.47762955789794714,0.8375724644543558,0.09627851770091622,0.8472932626634302,0.2684180451981567,0.7916444951521066
0.38979591093052035,0.07402442287852729,0.37673168296829584,0.8548248815579269,0.26596592987029555,0.8696885600829093
0.4063529329279706,0.7958370251087499,0.01069334117855869,0.9000909428385687,0.060803473302703526,0.18162278395088027
0.6106204016244356,0.26052660721912646,0.9444109519445479,0.10699352259646489,0.23153664845038657,0.8434888597290011
0.8915069095898875,0.24249250594858196,0.5393984931573889,0.03689648410691426,0.2925256126595438,0.015783951369262805
0.7267178183991707,0.2213325982726292,0.708004197787443,0.19880851050819381,0.38812939058665885,0.5521062459911577
0.5862655083096115,0.330924482406016,0.45898788599685314,0.3668967582136916,0.4777326353912358,0.649421165601427
0.557233089344082,0.10585402593094606,0.19714608601110184,0.682634995099387,0.46876951041134485,0.4838570026823745
0.3238405005243876,0.6810610470649671,0.6162724972345197,0.6270701360821866,0.5209167568533185,0.7360225288595127
0.037718474806392344,0.3509724056586321,0.4959348825669322,0.5621451621531001,0.980410612291296,0.4264476782358325
0.7791184950259072,0.8987695717498512,0.5907967354152153,0.28604845604552476,0.6683105510179493,0.1860433464160295
